순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
141,행정안전부_생활_체육도장업 조회서비스,생활_체육도장업 데이터 조회,http://apis.data.go.kr/1741000/martial_arts_dojo/info,
142,행정안전부_생활_목욕장업 조회서비스,생활_목욕장업 데이터 조회,http://apis.data.go.kr/1741000/public_baths/info,
143,행정안전부_자원환경_목재수입유통업 조회서비스,자원환경_목재수입유통업 데이터 조회,http://apis.data.go.kr/1741000/lumber_import_distribution/info,
144,행정안전부_자원환경_원목생산업 조회서비스,자원환경_원목생산업 데이터 조회,http://apis.data.go.kr/1741000/log_production/info,
145,행정안전부_자원환경_제재업 조회서비스,자원환경_제재업 데이터 조회,http://apis.data.go.kr/1741000/sawmills/info,
146,행정안전부_자원환경_계량기수리업 조회서비스,자원환경_계량기수리업 데이터 조회,http://apis.data.go.kr/1741000/weighing_instrument_repair/info,
147,행정안전부_자원환경_계량기수입업 조회서비스,자원환경_계량기수입업 데이터 조회,http://apis.data.go.kr/1741000/weighing_instrument_import/info,
148,행정안전부_자원환경_계량기제조업 조회서비스,자원환경_계량기제조업 데이터 조회,http://apis.data.go.kr/1741000/weighing_instrument_manufacturing/info,
149,행정안전부_자원환경_계량기증명업 조회서비스,자원환경_계량기증명업 데이터 조회,http://apis.data.go.kr/1741000/weighing_instrument_certification/info,
150,행정안전부_자원환경_고압가스업 조회서비스,자원환경_고압가스업 데이터 조회,http://apis.data.go.kr/1741000/high_pressure_gas/info,
151,행정안전부_자원환경_석연탄제조업 조회서비스,자원환경_석연탄제조업 데이터 조회,http://apis.data.go.kr/1741000/briquette_manufacturers/info,
152,행정안전부_자원환경_석유및석유대체연료판매업체 조회서비스,자원환경_석유및석유대체연료판매업체 데이터 조회,http://apis.data.go.kr/1741000/petroleum_alt_fuel_retailers/info,
153,행정안전부_자원환경_석유판매업 조회서비스,자원환경_석유판매업 데이터 조회,http://apis.data.go.kr/1741000/oil_retailers/info,
154,행정안전부_자원환경_액화석유가스용품제조업체 조회서비스,자원환경_액화석유가스용품제조업체 데이터 조회,http://apis.data.go.kr/1741000/lpg_equipment_manufacturers/info,
155,행정안전부_자원환경_일반도시가스업체 조회서비스,자원환경_일반도시가스업체 데이터 조회,http://apis.data.go.kr/1741000/city_gas_companies/info,
